選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
藤平　尚真,62,2,2,12,21,23,0,0,0,0.5,238,59.2,45,6,20,2,0,66,1,0,16,14,2.11
松井　友飛,13,1,3,0,1,2,0,0,0,0.25,127,27,31,4,19,2,1,25,1,0,18,18,6
松田　啄磨,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
宮森　智志,10,1,0,0,0,1,0,0,0,1,63,12,18,1,8,1,3,9,0,0,14,14,10.5
ヤフーレ,14,2,6,0,0,0,0,0,0,0.25,293,64.1,80,1,23,0,4,30,2,0,38,32,4.48
渡辺　翔太,26,1,0,1,7,8,0,0,0,1,119,25.2,29,1,14,1,0,20,1,0,11,11,3.86
東　晃平,6,1,2,0,0,0,0,0,0,0.333,113,26,21,0,14,0,2,13,1,0,10,9,3.12
阿部　翔太,16,0,0,0,0,0,0,0,0,0,62,14.2,14,2,6,0,0,12,0,0,5,5,3.07
井口　和朋,5,0,0,0,0,0,0,0,0,0,28,4.2,8,0,4,0,1,2,1,0,7,5,9.64
入山　海斗,15,2,0,0,1,3,0,0,0,1,54,14.1,9,1,4,1,0,13,1,0,8,8,5.02
岩嵜　翔,37,4,1,0,16,20,0,0,0,0.8,136,34,26,0,10,0,1,34,1,0,8,8,2.12
エスピノーザ,23,5,8,0,0,0,1,0,0,0.385,566,129.2,131,3,47,0,5,119,5,0,48,43,2.98
片山　楽生,21,1,0,1,0,1,0,0,0,1,126,30,30,2,6,1,1,18,1,0,8,7,2.1
川瀬　堅斗,23,1,1,0,3,4,0,0,0,0.5,138,32,32,1,13,3,2,18,2,0,13,13,3.66
九里　亜蓮,25,11,8,0,0,0,2,1,0,0.579,678,164.1,155,7,48,0,6,114,1,2,49,44,2.41
古田島　成龍,20,2,1,0,6,8,0,0,0,0.667,86,18.1,21,1,12,1,1,14,0,0,9,9,4.42
権田　琉成,9,1,0,0,0,1,0,0,0,1,52,11.1,16,0,2,0,1,7,0,0,7,7,5.56
才木　海翔,38,2,1,4,11,13,0,0,0,0.667,130,33.2,20,1,12,0,0,36,5,0,8,7,1.87
*佐藤　一磨,3,1,1,0,0,0,0,0,0,0.5,64,13.1,22,5,5,0,0,13,0,0,10,10,6.75
*曽谷　龍平,21,8,8,0,0,0,1,0,1,0.5,486,114.1,125,7,25,1,8,102,3,0,55,51,4.01
髙島　泰都,22,2,1,0,0,0,0,0,0,0.667,265,61.1,67,1,18,3,4,31,2,0,25,25,3.67
*田嶋　大樹,18,7,7,0,0,0,2,2,2,0.5,440,106.1,106,8,24,0,0,77,2,0,43,37,3.13
寺西　成騎,11,2,3,0,1,1,0,0,0,0.4,163,35.2,46,2,15,0,0,20,0,0,22,21,5.3
*東松　快征,7,0,2,0,0,0,0,0,0,0,53,10,17,0,6,0,0,9,0,0,13,12,10.8
*富山　凌雅,5,0,0,0,0,0,0,0,0,0,23,4,6,1,4,0,1,1,0,0,4,4,9
平野　佳寿,3,0,1,1,0,0,0,0,0,0,14,2.1,5,1,2,0,0,1,0,0,4,4,15.43
博志,15,0,0,0,4,4,0,0,0,0,58,12.1,16,1,6,0,0,6,0,0,9,9,6.57
ペルドモ,50,2,4,0,33,35,0,0,0,0.333,204,48.1,50,1,16,4,1,27,0,0,18,17,3.17
本田　圭佑,9,0,0,0,0,0,0,0,0,0,56,12.2,18,1,2,0,0,9,0,0,9,9,6.39
マチャド,58,3,6,28,9,12,0,0,0,0.333,233,55.1,50,0,16,2,3,68,0,0,16,14,2.28
*宮城　大弥,23,7,3,0,0,0,0,0,0,0.7,615,150.1,135,6,30,0,6,165,3,0,41,40,2.39
椋木　蓮,12,0,2,0,4,4,0,0,0,0,115,24.2,36,2,7,0,1,19,0,0,22,19,6.93
山岡　泰輔,41,5,3,0,13,18,0,0,0,0.625,158,36,42,1,8,1,2,32,0,0,17,17,4.25
山口　廉王,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0
山﨑　颯一郎,28,2,1,0,4,6,0,0,0,0.667,116,27.1,24,5,11,0,2,32,2,0,14,13,4.28
山下　舜平大,4,1,0,0,1,1,0,0,0,1,86,21.2,14,1,7,0,1,31,2,0,3,3,1.25
*山田　修義,28,2,2,0,10,12,0,0,0,0.5,107,23.1,25,2,10,0,0,21,0,0,12,11,4.24
横山　楓,14,2,0,0,4,6,0,0,0,1,63,16.1,12,0,5,0,0,18,0,0,2,2,1.1
青山　美夏人,2,0,0,0,0,0,0,0,0,0,11,2,3,1,2,0,0,0,0,0,3,3,13.5
糸川　亮太,13,0,1,0,0,0,0,0,0,0,68,18.2,11,3,2,0,1,17,0,0,6,6,2.89
