Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
53,패트릭,25,1.33,15,9,6,0,0,0,3,3,0,2,60.2,21,26,26.7,267,63,10,2,2,21,2,0,45,4,0,5,3.12,3.86,3.96,3.95,3.67,1.38,1.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,김범수,25,1.33,73,0,73,9,0,0,2,1,2,6,48,12,17,16.95,195,30,5,0,0,22,4,1,41,2,0,1,2.25,3.19,3.18,3.19,3.45,1.08,1.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,김택연,25,1.32,64,0,64,43,0,0,4,5,24,0,66.1,26,31,29.8,281,47,6,0,6,31,5,2,79,3,0,5,3.53,4.21,4.04,4.19,3.71,1.18,1.32
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,톨허스트,25,1.31,8,8,0,0,0,0,6,2,0,0,44,14,15,15,184,39,7,1,2,16,2,1,45,2,0,1,2.86,3.07,3.07,3.41,3.21,1.25,1.31
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,조동욱,25,1.31,68,2,66,12,0,0,3,3,2,5,60,27,29,25.45,283,77,16,0,4,29,4,3,43,4,1,7,4.05,4.35,3.82,3.77,4.63,1.77,1.31
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,백정현,25,1.3,29,1,28,8,0,0,2,0,1,3,32.1,7,7,9.05,128,19,6,0,1,7,2,0,31,3,0,0,1.95,1.95,2.52,2.24,2.78,0.8,1.3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,에르난데스,25,1.28,14,14,0,0,0,0,4,4,0,0,66,31,32,31,276,53,14,0,7,24,5,0,73,0,0,3,4.23,4.36,4.23,4.37,3.82,1.17,1.28
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,김태훈,25,1.27,73,0,73,9,0,0,2,6,2,19,66.1,33,34,32.95,287,66,13,0,8,26,2,3,74,2,0,4,4.48,4.61,4.47,4.11,3.87,1.39,1.27
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,정우주,25,1.23,51,2,49,15,0,0,3,0,0,3,53.2,17,18,20.75,228,34,6,1,6,21,10,0,82,4,1,3,2.85,3.02,3.48,3.51,3.28,1.02,1.23
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,김영규,25,1.21,45,0,45,1,0,0,4,3,0,21,44,14,17,18.05,189,40,4,0,3,18,3,4,35,3,0,6,2.86,3.48,3.69,3.59,4.05,1.32,1.21
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,우규민,25,1.12,53,0,53,10,0,0,1,2,0,9,44.1,12,12,16.15,185,45,6,0,2,3,4,1,24,2,0,0,2.44,2.44,3.28,3.29,3.54,1.08,1.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,이상동,25,1.12,41,0,41,5,0,0,3,0,0,5,43.1,12,12,14.7,168,31,6,0,4,9,2,1,34,0,0,1,2.49,2.49,3.05,3.01,3.87,0.92,1.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,홍민기,25,1.06,25,2,23,2,0,0,0,2,0,3,32,11,13,10.7,129,24,5,1,0,11,2,0,39,1,0,1,3.09,3.66,3.01,2.94,2.17,1.09,1.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,레예스,25,1.06,10,10,0,0,0,0,4,3,0,0,50,23,26,24.8,215,51,7,1,5,12,3,0,35,1,0,0,4.14,4.68,4.46,4.21,4.32,1.26,1.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,양창섭,25,1.04,33,6,27,6,0,0,3,3,0,2,63,24,29,31.75,276,67,10,0,3,19,9,1,45,3,0,4,3.43,4.14,4.54,4.27,4.12,1.37,1.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,조상우,25,1.03,72,0,72,7,0,0,6,6,1,28,60,26,29,28.7,271,64,15,0,5,27,6,3,55,1,0,2,3.9,4.35,4.31,4.33,4.27,1.52,1.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,정현수,25,1.03,82,0,82,9,0,0,2,0,0,12,47.2,21,23,20.65,203,34,9,0,4,26,2,0,47,4,0,2,3.97,4.34,3.9,3.8,4.33,1.26,1.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,정철원,25,1.03,75,0,75,4,0,0,8,3,0,21,70,33,34,36.95,312,72,13,1,4,28,7,2,55,3,0,5,4.24,4.37,4.75,4.54,4.19,1.43,1.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,최민준,25,0.99,40,8,32,10,0,0,2,2,0,1,65.2,29,34,33.5,287,72,7,0,6,24,3,0,44,4,0,3,3.97,4.66,4.59,4.46,4.65,1.46,0.99
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,김도현,25,0.97,24,24,0,0,0,0,4,7,0,0,125.1,67,79,75.75,561,149,28,4,11,33,10,0,71,11,1,5,4.81,5.67,5.44,5.58,4.64,1.45,0.97
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,이민석,25,0.95,20,17,3,0,0,0,2,5,0,0,87.1,51,56,53.05,417,104,13,2,10,56,2,0,61,5,0,2,5.26,5.77,5.47,5.26,5.66,1.83,0.95
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,최원준,25,0.95,47,16,31,1,0,0,4,7,0,9,107,56,59,59.7,456,105,17,2,18,38,4,2,62,4,0,4,4.71,4.96,5.02,5.28,5.7,1.34,0.95
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,박영현,25,0.95,67,0,67,53,0,0,5,6,35,1,69,26,31,35.7,305,68,10,1,9,34,2,4,77,3,1,6,3.39,4.04,4.66,4.54,3.99,1.48,0.95
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,손동현,25,0.94,58,0,58,7,0,0,5,0,1,13,58.2,25,30,28.8,257,66,16,1,6,12,3,3,55,3,0,4,3.84,4.6,4.42,4.23,3.45,1.33,0.94
